sentence,techniques,sub_techniques,confidence
"Dubbed Operation Cobalt Kitty, the APT targeted a global corporation based in Asia with the goal of stealing proprietary business information. The threat actor targeted the company’s top-level management by using spear-phishing attacks as the initial penetration vector, ultimately compromising the computers of vice presidents, senior directors and other key personnel in the operational departments. During Operation Cobalt Kitty, the attackers compromised more than 40 PCs and servers, including the domain controller, file servers, Web application server and database server.",T1566,Phishing,0.9
"The attackers arsenal consisted of modified publicly-available tools as well as six undocumented custom-built tools, which Cybereason considers the threat actor’s signature tools. Among these tools are two backdoors that exploited DLL sideloading attack in Microsoft, Google and Kaspersky applications. In addition, they developed a novel and stealthy backdoor that targets Microsoft Outlook for command-and-control channel and data exfiltration.",T1574,Hijack Execution Flow,0.9
"Cybereason also attributes the recently reported Backdoor.Win32.Denis to the OceanLotus Group, which at the time of this report’s writing, had not been officially linked to this threat actor.",T1588,Obtain Capabilities,0.9
"Finally, this report offers a rare glimpse into what a cyber espionage APT looks like ""under-the-hood"". Cybereason was able to monitor and detect the entire attack lifecycle, from infiltration to exfiltration and all the steps in between.",T1105,Ingress Tool Transfer,0.9
Phase one: Fileless operation (PowerShell and Cobalt Strike payloads).,T1055,Process Injection,0.9
"Based on the forensic evidence collected from the environment, phase one was the continuation of the original attack that began about a year before Cybereason was deployed in the environment. During that phase, the threat actor operated a fileless PowerShell-based infrastructure, using customized PowerShell payloads taken from known offensive frameworks such as Cobalt Strike, PowerSploit and Nishang.",T1059,Command and Scripting Interpreter,0.9
"The initial penetration vector was carried out by social engineering. Carefully selected group of employees received spear-phishing emails, containing either links to malicious sites or weaponized Word documents. These documents contained malicious macros that created persistence on the compromised machine using two scheduled tasks, whose purpose was to download secondary payloads (mainly Cobalt Strike Beacon):.",T1566,Phishing,0.9
Scheduled task 1: Downloads a COM scriptlet that redirects to Cobalt Strike payload:.,T1053,Scheduled Task/Job,0.9
Scheduled task 2: Uses Javascript to download a Cobalt Strike Beacon:.,T1053,Scheduled Task/Job,0.9
Fileless payload delivery infrastructure.,T1553,Create or Modify System Process,0.9
"In the first phase of the attack, the attackers used a fileless in-memory payload delivery infrastructure consisting of the following components:.",T1055,Process Injection,0.9
VBS and PowerShell-based loaders.,T1059,Command and Scripting Interpreter,0.9
"The attackers dropped Visual Basic and PowerShell scripts in folders that they created under the ProgramData (a hidden folder, by default). The attackers created persistence using Windows’ registry, services and scheduled tasks. This persistence mechanism ensured that the loader scripts would execute either at startup or at predetermined intervals.",T1059,Command and Scripting Interpreter,0.9
Values found in Windows’ Registry: the VBS scripts are executed by Windows’ Wscript at startup:.,T1059,Command and Scripting Interpreter,0.9
"The .vbs scripts as well as the .txt files contain the loader’s script, which launches PowerShell with a base64 encoded command, which either loads another PowerShell script (e.g Cobalt Strike Beacon) or fetches a payload from the command-and-control (C&C) server:.",T1059,Command and Scripting Interpreter,0.9
In-memory fileless payloads from C&C servers.,T1055,Process Injection,0.9
The payloads served by the C&C servers are mostly PowerShell scripts with embedded base64-encoded payloads (Metasploit and Cobalt Strike payloads):.,T1059,Command and Scripting Interpreter,0.9
Example 1: PowerShell payload with embedded Shellcode downloading Cobalt Strike Beacon.,T1059,Command and Scripting Interpreter,0.9
"The decoded payload is a shellcode, whose purpose is to retrieve a Cobalt Strike Beacon from the C&C server:.",T1105,Ingress Tool Transfer,0.9
Example 2: Cobalt Strike Beacon embedded in obfuscated PowerShell.,T1059,Command and Scripting Interpreter,0.9
A second type of an obfuscated PowerShell payload consisted of Cobalt Strike’s Beacon payload:.,T1027,Obfuscated Files or Information,0.9
"Less than 48 hours after Cybereason alerted the company about the breach, the attackers started to change their approach and almost completely abandoned the PowerShell infrastructure that they had been using - replacing it with sophisticated custom-built backdoors. The attackers’ remarkable ability to quickly adapt demonstrated their skill and familiarity with and command of the company’s network and its operations.",T1588,Obtain Capabilities,0.9
